,fracs,loss_weights,ph_acc,ace,acc,avg,test_ph_acc,test_ace,test_full_acc
0,0.05,0.0,0.498,0.0,0.498,0.332,0.5,-0.0,0.5
1,0.05,0.25,0.494,0.0,0.838,0.44399999999999995,0.5,0.0,0.835
2,0.05,0.5,0.494,0.0,0.867,0.45366666666666666,0.5,0.0,0.874
3,0.05,0.6,0.494,0.0,0.868,0.454,0.5,0.0,0.874
4,0.05,0.7,0.494,0.0,0.878,0.4573333333333333,0.5,0.0,0.885
5,0.05,0.8,0.713,0.196,0.779,0.5626666666666668,0.715,0.207,0.776
6,0.05,0.9,0.699,0.175,0.821,0.565,0.7,0.171,0.825
7,0.05,1.0,0.556,-0.022,0.868,0.4673333333333334,0.561,-0.019,0.882
8,0.10,0.0,0.494,0.0,0.494,0.3293333333333333,0.5,-0.0,0.5
9,0.10,0.25,0.494,0.0,0.849,0.44766666666666666,0.5,0.0,0.847
10,0.10,0.5,0.494,0.0,0.869,0.4543333333333333,0.5,0.0,0.871
11,0.10,0.6,0.494,0.0,0.865,0.453,0.5,0.0,0.877
12,0.10,0.7,0.494,0.0,0.876,0.4566666666666667,0.5,0.0,0.882
13,0.10,0.8,0.671,0.152,0.826,0.5496666666666666,0.675,0.144,0.826
14,0.10,0.9,0.81,0.285,0.83,0.6416666666666666,0.808,0.28,0.832
15,0.10,1.0,0.654,0.018,0.868,0.5133333333333333,0.664,0.015,0.878
16,0.25,0.0,0.504,0.001,0.501,0.3353333333333333,0.5,0.0,0.5
17,0.25,0.25,0.494,0.0,0.847,0.447,0.5,0.0,0.849
18,0.25,0.5,0.494,0.0,0.858,0.4506666666666666,0.5,0.0,0.874
19,0.25,0.6,0.494,0.0,0.862,0.45199999999999996,0.5,0.0,0.874
20,0.25,0.7,0.494,0.0,0.867,0.45366666666666666,0.5,0.0,0.865
21,0.25,0.8,0.722,0.199,0.815,0.5786666666666667,0.729,0.201,0.818
22,0.25,0.9,0.824,0.278,0.823,0.6416666666666666,0.82,0.275,0.83
23,0.25,1.0,0.699,0.006,0.876,0.527,0.707,0.002,0.883
24,0.50,0.0,0.498,0.0,0.498,0.332,0.5,-0.0,0.5
25,0.50,0.25,0.498,-0.0,0.848,0.4486666666666667,0.5,-0.0,0.86
26,0.50,0.5,0.494,0.0,0.867,0.45366666666666666,0.5,0.0,0.876
27,0.50,0.6,0.602,0.071,0.829,0.5006666666666666,0.613,0.075,0.837
28,0.50,0.7,0.609,0.076,0.817,0.5006666666666666,0.616,0.078,0.812
29,0.50,0.8,0.578,0.051,0.841,0.49,0.597,0.063,0.835
30,0.50,0.9,0.833,0.275,0.842,0.65,0.832,0.269,0.847
31,0.50,1.0,0.773,0.023,0.874,0.5566666666666666,0.783,0.025,0.885
32,0.75,0.0,0.502,0.0,0.502,0.33466666666666667,0.5,0.0,0.5
33,0.75,0.25,0.741,0.057,0.818,0.5386666666666667,0.747,0.061,0.822
34,0.75,0.5,0.745,0.057,0.857,0.553,0.763,0.067,0.864
35,0.75,0.6,0.741,0.039,0.844,0.5413333333333333,0.748,0.048,0.848
36,0.75,0.7,0.749,0.045,0.868,0.5539999999999999,0.764,0.053,0.874
37,0.75,0.8,0.733,0.025,0.87,0.5426666666666667,0.746,0.03,0.878
38,0.75,0.9,0.769,0.064,0.865,0.566,0.781,0.066,0.88
39,0.75,1.0,0.813,0.036,0.884,0.5776666666666667,0.819,0.034,0.891
