,fracs,loss_weights,ph_acc,ace,acc,avg,test_ph_acc,test_ace,test_full_acc
0,0.05,0.0,0.5,0.0,0.5,0.3333333333333333,0.5,0.0,0.5
1,0.05,0.25,0.918,0.414,0.978,0.77,0.92,0.418,0.98
2,0.05,0.5,0.945,0.424,0.997,0.7886666666666667,0.946,0.413,0.999
3,0.05,0.6,0.927,0.392,0.998,0.7723333333333334,0.931,0.399,0.998
4,0.05,0.7,0.966,0.455,0.997,0.806,0.97,0.462,0.997
5,0.05,0.8,0.979,0.432,0.991,0.8006666666666667,0.976,0.418,0.99
6,0.05,0.9,0.929,0.415,0.997,0.7803333333333334,0.927,0.413,0.997
7,0.05,1.0,0.611,0.045,0.999,0.5516666666666666,0.612,0.046,0.999
8,0.10,0.0,0.5,0.0,0.5,0.3333333333333333,0.5,-0.0,0.5
9,0.10,0.25,0.822,0.317,0.995,0.7113333333333333,0.824,0.314,0.994
10,0.10,0.5,0.922,0.393,0.99,0.7683333333333332,0.923,0.39,0.99
11,0.10,0.6,0.942,0.387,0.994,0.7743333333333333,0.943,0.384,0.993
12,0.10,0.7,0.949,0.406,0.998,0.7843333333333332,0.948,0.401,0.997
13,0.10,0.8,0.985,0.473,0.997,0.8183333333333334,0.986,0.477,0.995
14,0.10,0.9,0.99,0.472,0.997,0.8196666666666667,0.991,0.472,0.997
15,0.10,1.0,0.631,0.013,0.999,0.5476666666666666,0.622,0.008,0.999
16,0.25,0.0,0.5,0.0,0.5,0.3333333333333333,0.5,0.0,0.5
17,0.25,0.25,0.824,0.317,0.99,0.7103333333333334,0.824,0.325,0.992
18,0.25,0.5,0.992,0.453,0.995,0.8133333333333334,0.992,0.449,0.994
19,0.25,0.6,0.991,0.43,0.995,0.8053333333333333,0.99,0.428,0.995
20,0.25,0.7,0.984,0.437,0.995,0.8053333333333333,0.983,0.431,0.995
21,0.25,0.8,0.997,0.393,0.999,0.7963333333333334,0.996,0.399,0.997
22,0.25,0.9,0.986,0.395,0.993,0.7913333333333333,0.991,0.417,0.995
23,0.25,1.0,0.887,0.059,0.998,0.648,0.882,0.05,0.998
24,0.50,0.0,0.5,0.0,0.5,0.3333333333333333,0.5,0.0,0.5
25,0.50,0.25,0.967,0.309,0.987,0.7543333333333333,0.967,0.307,0.987
26,0.50,0.5,0.984,0.327,0.992,0.7676666666666666,0.983,0.316,0.991
27,0.50,0.6,0.988,0.326,0.992,0.7686666666666667,0.987,0.316,0.992
28,0.50,0.7,0.992,0.28,0.994,0.7553333333333333,0.992,0.268,0.996
29,0.50,0.8,0.992,0.299,0.992,0.761,0.991,0.287,0.992
30,0.50,0.9,0.991,0.253,0.993,0.7456666666666667,0.99,0.251,0.992
31,0.50,1.0,0.965,0.131,0.998,0.6980000000000001,0.966,0.126,0.998
32,0.75,0.0,0.5,0.0,0.5,0.3333333333333333,0.5,-0.0,0.5
33,0.75,0.25,0.986,0.168,0.987,0.7136666666666667,0.987,0.171,0.989
34,0.75,0.5,0.994,0.132,0.996,0.7073333333333333,0.994,0.134,0.996
35,0.75,0.6,0.993,0.131,0.995,0.7063333333333334,0.993,0.133,0.996
36,0.75,0.7,0.99,0.135,0.992,0.7056666666666667,0.99,0.126,0.993
37,0.75,0.8,0.987,0.124,0.985,0.6986666666666667,0.988,0.124,0.987
38,0.75,0.9,0.991,0.104,0.994,0.6963333333333334,0.991,0.106,0.994
39,0.75,1.0,0.995,0.037,0.998,0.6766666666666667,0.995,0.035,0.999
