,fracs,loss_weights,ph_acc,ace,acc,avg,test_ph_acc,test_ace,test_full_acc
0,0.05,0.0,0.497,-0.0,0.497,0.3313333333333333,0.497,0.0,0.497
1,0.05,0.25,0.794,0.274,0.93,0.666,0.781,0.262,0.932
2,0.05,0.5,0.865,0.332,0.964,0.7203333333333334,0.86,0.328,0.965
3,0.05,0.6,0.879,0.345,0.948,0.7239999999999999,0.887,0.346,0.959
4,0.05,0.7,0.917,0.385,0.956,0.7526666666666667,0.917,0.381,0.959
5,0.05,0.8,0.912,0.395,0.935,0.7473333333333333,0.91,0.399,0.939
6,0.05,0.9,0.931,0.412,0.96,0.7676666666666666,0.936,0.422,0.968
7,0.05,1.0,0.534,-0.007,0.969,0.49866666666666665,0.525,-0.011,0.973
8,0.10,0.0,0.497,-0.0,0.497,0.3313333333333333,0.497,0.0,0.497
9,0.10,0.25,0.923,0.401,0.965,0.763,0.924,0.401,0.967
10,0.10,0.5,0.939,0.412,0.979,0.7766666666666667,0.947,0.42,0.985
11,0.10,0.6,0.93,0.41,0.976,0.7719999999999999,0.939,0.419,0.979
12,0.10,0.7,0.947,0.421,0.982,0.7833333333333332,0.953,0.43,0.983
13,0.10,0.8,0.942,0.418,0.968,0.7759999999999999,0.943,0.421,0.972
14,0.10,0.9,0.948,0.415,0.972,0.7783333333333333,0.953,0.418,0.976
15,0.10,1.0,0.621,0.055,0.987,0.5543333333333333,0.626,0.062,0.991
16,0.25,0.0,0.492,0.0,0.492,0.328,0.491,0.0,0.491
17,0.25,0.25,0.896,0.364,0.937,0.7323333333333334,0.893,0.36,0.941
18,0.25,0.5,0.944,0.391,0.98,0.7716666666666666,0.95,0.397,0.985
19,0.25,0.6,0.957,0.404,0.978,0.7796666666666666,0.969,0.415,0.982
20,0.25,0.7,0.955,0.389,0.977,0.7736666666666666,0.961,0.396,0.982
21,0.25,0.8,0.955,0.389,0.976,0.7733333333333333,0.961,0.397,0.98
22,0.25,0.9,0.948,0.374,0.968,0.7633333333333333,0.952,0.377,0.971
23,0.25,1.0,0.691,0.035,0.963,0.5630000000000001,0.698,0.041,0.968
24,0.50,0.0,0.497,0.0,0.497,0.3313333333333333,0.497,0.0,0.497
25,0.50,0.25,0.823,0.2,0.907,0.6433333333333333,0.815,0.189,0.904
26,0.50,0.5,0.943,0.289,0.981,0.7376666666666667,0.95,0.295,0.985
27,0.50,0.6,0.96,0.329,0.973,0.754,0.963,0.332,0.981
28,0.50,0.7,0.965,0.317,0.981,0.7543333333333333,0.968,0.318,0.986
29,0.50,0.8,0.955,0.276,0.973,0.7346666666666666,0.957,0.282,0.975
30,0.50,0.9,0.966,0.308,0.981,0.7516666666666666,0.973,0.32,0.986
31,0.50,1.0,0.822,-0.002,0.961,0.5936666666666667,0.831,0.005,0.97
